Year,Month,Day,hour,DBT,DP,RH,GHR,DNR,DHR
1994,1,1,1,23,22.2,95,0,0,0
1994,1,1,2,23.1,22.3,95,0,0,0
1994,1,1,3,22.9,22.1,95,0,0,0
1994,1,1,4,22.6,21.8,95,0,0,0
1994,1,1,5,22.4,21.7,96,0,0,0
1994,1,1,6,22,21.3,96,0,0,0
1994,1,1,7,21.9,21.2,96,11,30,10
1994,1,1,8,22.8,22.1,96,86,60,74
1994,1,1,9,24.2,22.3,89,225,111,179
1994,1,1,10,26.3,19.2,65,440,315,255
1994,1,1,11,27.4,18.9,60,584,405,295
1994,1,1,12,28.4,17.6,52,736,613,254
1994,1,1,13,28.6,16.5,48,772,669,237
1994,1,1,14,28.6,17.5,51,740,709,207
1994,1,1,15,28.4,17.6,52,607,630,200
1994,1,1,16,27.8,18.2,56,447,599,152
1994,1,1,17,27.2,18.7,60,232,425,105
1994,1,1,18,25.6,18.8,66,43,142,30
1994,1,1,19,24.9,19.9,74,0,0,0
1994,1,1,20,24.3,20.8,81,0,0,0
1994,1,1,21,23.8,21.5,87,0,0,0
1994,1,1,22,23.2,21.5,90,0,0,0
1994,1,1,23,22.6,21.4,93,0,0,0
1994,1,1,24,22.3,21.6,96,0,0,0
1994,1,2,1,22,21.3,96,0,0,0
1994,1,2,2,21.9,21.2,96,0,0,0
1994,1,2,3,21.8,21.1,96,0,0,0
1994,1,2,4,21.8,21.1,96,0,0,0
1994,1,2,5,21.8,21.1,96,0,0,0
1994,1,2,6,21.6,20.9,96,0,0,0
1994,1,2,7,21.8,21.1,96,10,82,8
1994,1,2,8,23,22.3,96,116,165,81
1994,1,2,9,24.9,22.6,87,329,424,154
1994,1,2,10,26.1,20.4,71,529,572,194
1994,1,2,11,26.7,20.1,67,621,495,267
1994,1,2,12,27.3,19.6,63,599,303,360
1994,1,2,13,27.7,18.9,59,549,198,391
1994,1,2,14,27.6,19.7,62,486,157,368
1994,1,2,15,27.6,19.9,63,384,118,308
1994,1,2,16,27.1,20.4,67,303,159,224
1994,1,2,17,26.4,20.5,70,193,232,123
